state,act_participation,act_composite,sat_participation,sat_total,census_region
AL,1.0,19.2,0.05,1165.0,South
AK,0.65,19.8,0.38,1080.0,West
AZ,0.62,19.7,0.3,1116.0,West
AR,1.0,19.4,0.03,1208.0,South
CA,0.31,22.8,0.53,1055.0,West
CO,1.0,20.8,0.11,1201.0,West
CT,0.31,25.2,1.0,1041.0,Northeast
DE,0.18,24.1,1.0,996.0,South
FL,0.73,19.8,0.83,1017.0,South
GA,0.55,21.4,0.61,1050.0,South
HI,0.9,19.0,0.55,1085.0,West
ID,0.38,22.3,0.93,1005.0,West
IL,0.93,21.4,0.09,1115.0,Midwest
IN,0.35,22.6,0.63,1074.0,Midwest
IA,0.67,21.9,0.02,1275.0,Midwest
KS,0.73,21.7,0.04,1260.0,Midwest
KY,1.0,20.0,0.04,1247.0,South
LA,1.0,19.5,0.04,1198.0,South
ME,0.08,24.3,0.95,1012.0,Northeast
MD,0.28,23.6,0.69,1060.0,South
MA,0.29,25.4,0.76,1107.0,Northeast
MI,0.29,24.1,1.0,1005.0,Midwest
MN,1.0,21.5,0.03,1295.0,Midwest
MS,1.0,18.6,0.02,1242.0,South
MO,1.0,20.4,0.03,1271.0,Midwest
MT,1.0,20.3,0.1,1196.0,West
NE,0.84,21.4,0.03,1253.0,Midwest
NV,1.0,17.8,0.26,1116.0,West
NH,0.18,25.5,0.96,1052.0,Northeast
NJ,0.34,23.9,0.7,1056.0,Northeast
NM,0.66,19.7,0.11,1138.0,West
NY,0.31,24.2,0.67,1052.0,Northeast
NC,1.0,19.1,0.49,1081.0,South
ND,0.98,20.3,0.02,1256.0,Midwest
OH,0.75,22.0,0.12,1149.0,Midwest
OK,1.0,19.4,0.07,1047.0,South
OR,0.4,21.8,0.43,1108.0,West
PA,0.23,23.7,0.65,1071.0,Northeast
RI,0.21,24.0,0.71,1062.0,Northeast
SC,1.0,18.7,0.5,1064.0,South
SD,0.8,21.8,0.03,1216.0,Midwest
TN,1.0,19.8,0.05,1228.0,South
TX,0.45,20.7,0.62,1020.0,South
UT,1.0,20.3,0.03,1238.0,West
VT,0.29,23.6,0.6,1114.0,Northeast
VA,0.29,23.8,0.65,1102.0,South
WA,0.29,21.9,0.64,1075.0,West
WV,0.69,20.4,0.14,1086.0,South
WI,1.0,20.5,0.03,1291.0,Midwest
WY,1.0,20.2,0.03,1230.0,West
